Category;Indicator;Unit;Bad;Threshold;Reference;Status
Fish;Fish larger than mean size 1st sexual maturation L. piscatorius;%;0;50;100;55.5
Fish;Fish larger than mean size 1st sexual maturation L. boscii;%;0;50;100;99.88
Fish;Fish larger than mean size 1st sexual maturation L. whiffiagonis;%;0;50;100;42.84
Fish;Fish larger than mean size 1st sexual maturation Merluccius;%;0;50;100;16.68
Fish;Fish larger than mean size 1st sexual maturation Trachurus;%;0;50;100;43.8
Fish;Fish larger than mean size 1st sexual maturation Scomber;%;0;50;100;75.4
Fish;Fish larger than mean size 1st sexual maturation Micromesistius;%;0;50;100;98.25
Fish;Spawning-stock biomass L. budegassa BoBiscay;t;0;1;3;0.815
Fish;Spawning-stock biomass L. piscatorius BoBiscay;t;0;9000;16500;6510.75
Fish;Spawning-stock biomass L. boscii (8c9a);t;0;5333.666667;6801;6015
Fish;Spawning-stock biomass L. whiffiagonis (8c9a);t;0;1440;2500;1253
Fish;Spawning-stock biomass Sardine VIIIc-Ixa;t;0;551266.6667;917000;159000
Fish;Spawning-stock biomass Trachurus;t;0;1889.733333;4400;1008.75
Fish;Spawning-stock biomass Scomber (NEAM);t^10;0;3.36;5.36;4.2675
Fish;Spawning-stock biomass Engraulis;t;0;63000;95000;80907.84506
Fish;Spawning-stock biomass Merluccius BoBiscay+North;t;0;94133.33333;190000;167104.25
Fish;Spawning-stock biomass Merluccius Iberian Waters;t;0;23666.66667;45800;16840
Fish;Spawning-stock biomass Micromesistius;t;0;2250000;7189000;3740250
Fish;Spawning-stock biomass T. alalunga (Natlantic stock);t;0;81110;241383.36;186629.8
Fish;Spawning-stock biomass T. thynnus East Atlantic + Med);t;0;186435.627;333241;239373.6
Fish;Proportion of fish larger than 1000 mm;%;0;15;30;13.07
Fish;LFI;Biomass of species > 40 cm as a proportion of the total species biomass;0.2031151;0.3808409;0.4062303;0.1560313
Benthic habitats;MML;Ratio of length-weigthed assemblage species sum to total species biomass;57.27003;107.3813;114.5400569;71.9157825
Benthic habitats;MTL;Ratio of trophic level-weigthed assemblage species sum to total species biomass;2.095085;3.928285;4.1901704;4.0667956
Benthic habitats;Typological group sensitive to seafloor physical impact;Mean % of total individual density (number of individuals per m²);7.526762;14.112679;15.053524;19.265697
Benthic habitats;Typological group highly sensitive to seafloor physical impact;Mean % of total individual density (number of individuals per m²);8.501074;15.939513;17.002147;10.083716
Benthic habitats;Typological group sensitive to seafloor physical impact;Mean % of total biomass density (g AFDW per m²);9.952115;18.660216;19.90423;25.442203
Benthic habitats;Typological group highly sensitive to seafloor physical impact;Mean % of total biomass density (g AFDW per m²);28.611846;53.64721;57.223691;51.421652
Benthic habitats;Typological group sensitive to seafloor physical impact;Mean % of total number of taxa;16.669399;31.255123;33.338798;32.429648
Benthic habitats;Typological group highly sensitive to seafloor physical impact;Mean % of total number of taxa;3.643924;6.832357;7.287847;4.343481
Benthic habitats;Typological group sensitive to seafloor physical impact;Mean % of total individual density (number of individuals per m²);18.197211;34.119771;36.394422;29.145932
Benthic habitats;Typological group highly sensitive to seafloor physical impact;Mean % of total individual density (number of individuals per m²);3.300029;6.187554;6.600058;7.633729
Benthic habitats;Typological group sensitive to seafloor physical impact;Mean % of total biomass density (g AFDW per m²);19.170665;35.944998;38.341331;30.303709
Benthic habitats;Typological group highly sensitive to seafloor physical impact;Mean % of total biomass density (g AFDW per m²);15.787422;29.601415;31.574843;34.240844
Benthic habitats;Typological group sensitive to seafloor physical impact;Mean % of total number of taxa;17.586911;32.975459;35.173823;33.935693
Benthic habitats;Typological group highly sensitive to seafloor physical impact;Mean % of total number of taxa;3.345152;6.272159;6.690303;6.962407
Benthic habitats;Typological group sensitive to seafloor physical impact;Mean % of total individual density (number of individuals per m²);30.39264;56.9862;60.78528;49.336626
Benthic habitats;Typological group highly sensitive to seafloor physical impact;Mean % of total individual density (number of individuals per m²);1.444257;2.707981;2.888513;3.239133
Benthic habitats;Typological group sensitive to seafloor physical impact;Mean % of total biomass density (g AFDW per m²);23.547842;44.152203;47.095683;42.849621
Benthic habitats;Typological group highly sensitive to seafloor physical impact;Mean % of total biomass density (g AFDW per m²);15.055093;28.228299;30.110186;22.51568
Benthic habitats;Typological group sensitive to seafloor physical impact;Mean % of total number of taxa;17.299338;32.436258;34.598675;34.923791
